Ignore list
Jennings Beach
Ignore
Ignore 2
DELETE Fort Chaplin: 4231-4233 Blaine St NE T10
DELETE 4100 east capital NE
DELETE CARROL ST NW WASHINGTON DC 1
DELETE Progressive National Baptist Convention
324 Anacostia
330 Anacostia rd
354 Anacostia rd SE
310 Hamilton st NW
ALTAMONT 2410 GH
1941 NAYLOR RD
1741 28th Street SE
150 Wayne place SE
165 Mississippi Ave SE
??? MISSISSIPPI AVE SE
Woods Middle School
Main FF Public Library
Baseball Field
Animal Shelter
fort chaplin T5
Paige
Bob Seigel - 2046 West Virginia Ave
236 Walnut
